,Model,RMSE,MAE,R²,Improvement
0,GARCH,0.005442472276534371,0.004606399418395886,0.8589766535483983,0.0
1,RF Direct,0.009027774958873887,0.006930126806095239,0.6119747258220403,-65.87636096554535
2,XGB Direct,0.006430980507923084,0.004370925602314794,0.8030967194958651,-18.162852857344646
3,RF Residual,0.0017997864332766997,0.001377377238792407,0.9845780066030835,66.9307193159878
4,XGB Residual,0.0013574665556170403,0.000947349391194456,0.9912268239917602,75.05790591768636
5,Hybrid1 (GARCH+RF),0.003947444533323814,0.0030042218560414288,0.9258125168084393,27.469643706895507
6,Hybrid2 (GARCH+XGB),0.003476206300706626,0.002456223161991478,0.9424679763838063,36.12817623904946
7,Hybrid3 (RF+XGB),0.006430980507923084,0.004370925602314794,0.8030967194958651,-18.162852857344646
8,Advanced Hybrid,0.0014858390845428277,0.0011045172320828494,0.9894890463366476,72.69918873176195
