Open time,open,volume,log_return,gk_volatility,log_return_lag1,log_return_lag2,log_return_lag3,log_return_lag4,log_return_lag5,gk_volatility_lag1,gk_volatility_lag2,gk_volatility_lag3,gk_volatility_lag4,gk_volatility_lag5,squared_return,squared_return_lag1,squared_return_lag2,squared_return_lag3,squared_return_lag4,squared_return_lag5,return_roll_mean_5d,vol_roll_mean_5d,return_roll_mean_10d,vol_roll_mean_10d,return_roll_std_5d,return_roll_std_10d,bb_std,bb_width,true_range,atr_14,rsi_14,vol_macd,vol_macd_signal,vol_macd_hist,price_mom_20d,volume_roll_mean_5d,volume_roll_std_5d,volume_change,garch_residual,dayofweek_1,dayofweek_2,dayofweek_3,dayofweek_4,dayofweek_5,dayofweek_6,month_2,month_3,month_4,month_5,month_6,month_7,month_8,month_9,month_10,month_11,month_12,quarter_2,quarter_3,quarter_4
2018-01-22,11530.0,43752.606791,-0.0691121327179771,0.1244526364630991,-0.1044881491336175,0.1092714703888852,0.0457370031323948,-0.0024436523697732,0.0081128730279804,0.0880495765263842,0.0699016671628913,0.0871759591610767,0.0916106489800797,0.1813250238867405,0.004776486888827281,0.01091777330936909,0.011940254240949015,0.002091873455532692,5.971436904298176e-06,6.581870876813187e-05,-0.004207092140017551,0.0922380976587062,-0.024447181303298558,0.1078568888880876,0.08608696360397633,0.09118582194494158,2011.3602193024426,0.5916019174212195,2026.1100000000006,1986.7985714285714,31.3326976956875,0.0025451411390282758,0.0037995430773021138,-0.001254401938273838,-0.26678232735563834,39299.0096804,7838.659667865678,0.05734283125651629,0.024890527292619823,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018-01-23,10760.05,37473.922552,0.0036300037587387,0.099312945765359,-0.0691121327179771,-0.1044881491336175,0.1092714703888852,0.0457370031323948,-0.0024436523697732,0.1244526364630991,0.0880495765263842,0.0699016671628913,0.0871759591610767,0.0916106489800797,1.317692728845709e-05,0.004776486888827281,0.01091777330936909,0.011940254240949015,0.002091873455532692,5.971436904298176e-06,-0.0029923609143151708,0.09377855701576207,-0.027447573678727986,0.1139260673854875,0.08616088686689415,0.08954116166420603,2078.9122958868356,0.6208766395050804,1494.0,1987.1592857142857,32.90583139869372,0.0018329688012787004,0.0034033044974274003,-0.0015703356961486998,-0.27617059809605005,37100.9072034,5936.0338600251125,-0.14350423207907081,0.0198625891530718,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018-01-24,10799.14,27158.587762,0.0497466575480256,0.0612888116119923,0.0036300037587387,-0.0691121327179771,-0.1044881491336175,0.1092714703888852,0.0457370031323948,0.099312945765359,0.1244526364630991,0.0880495765263842,0.0699016671628913,0.0871759591610767,0.002474729937200532,1.317692728845709e-05,0.004776486888827281,0.01091777330936909,0.011940254240949015,0.002091873455532692,-0.002190430031189011,0.08860112750594518,-0.017161851181000266,0.11134182760414404,0.0867444974984389,0.09213575485422872,2087.898896198294,0.6323171251794653,1070.4799999999996,1933.3114285714285,34.091218546828614,-0.00132436710624112,0.0024521555845104753,-0.0037765226907515953,-0.24632558497802726,35706.7496716,7437.192524284823,-0.2752670147003191,0.01225776232239846,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018-01-25,11349.96,20839.954183,-0.0155135615881707,0.0516003235389348,0.0497466575480256,0.0036300037587387,-0.0691121327179771,-0.1044881491336175,0.1092714703888852,0.0612888116119923,0.099312945765359,0.1244526364630991,0.0880495765263842,0.0699016671628913,0.0002406705931499654,0.002474729937200532,1.317692728845709e-05,0.004776486888827281,0.01091777330936909,0.011940254240949015,-0.02714743642660019,0.08494085878115389,-0.019193979632212026,0.11081661223108692,0.06069991996113714,0.0918209217957757,1935.8718611173763,0.5994029990997526,843.8400000000001,1738.68,38.75823126272299,-0.004427021834251532,0.0010697920736472315,-0.005496813907898764,-0.34109592998745897,34120.9689428,9766.79441816038,-0.23265692731788368,0.010320064707786961,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018-01-26,11184.7,33056.87196,-0.0077496753105052,0.0857326437560934,-0.0155135615881707,0.0497466575480256,0.0036300037587387,-0.0691121327179771,-0.1044881491336175,0.0516003235389348,0.0612888116119923,0.099312945765359,0.1244526364630991,0.0880495765263842,6.005746741825387e-05,0.0002406705931499654,0.002474729937200532,1.317692728845709e-05,0.004776486888827281,0.01091777330936909,-0.007799741661977731,0.08447747222709572,0.001719083673598103,0.0940450236852651,0.04260558051451866,0.06014543529242671,1709.5976462378824,0.5418853176049917,1331.8500000000004,1718.8278571428568,35.20110268475504,-0.004415316453595025,-3.138977922003938e-05,-0.004383926674374985,-0.35037279310407454,32456.388649599998,8890.28985645808,0.5862257502929555,0.01714652875121868,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018-01-27,11089.0,18860.768345,0.0356104943044179,0.0457038150077563,-0.0077496753105052,-0.0155135615881707,0.0497466575480256,0.0036300037587387,-0.0691121327179771,0.0857326437560934,0.0516003235389348,0.0612888116119923,0.099312945765359,0.1244526364630991,0.0012681073046049798,6.005746741825387e-05,0.0002406705931499654,0.002474729937200532,1.317692728845709e-05,0.004776486888827281,0.01314478374250127,0.06872770793602714,0.004468845801241853,0.08048290279736667,0.028252502240848326,0.06109136666892357,1508.8595146508408,0.4872524559639398,807.3099999999995,1714.075,35.37746846754051,-0.00716514532777017,-0.001462466051568766,-0.005702679276201404,-0.28848429383722507,27478.020960400005,7897.224795011381,-0.42944485588889936,0.00914076300155126,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018-01-28,11499.98,16887.339524,0.0332879848959367,0.0457443619423483,0.0356104943044179,-0.0077496753105052,-0.0155135615881707,0.0497466575480256,0.0036300037587387,0.0457038150077563,0.0857326437560934,0.0516003235389348,0.0612888116119923,0.099312945765359,0.0011080899384321098,0.0012681073046049798,6.005746741825387e-05,0.0002406705931499654,0.002474729937200532,1.317692728845709e-05,0.019076379969940868,0.058013991171425014,0.008042009527812843,0.07589627409359354,0.02886223257571231,0.06168421452159741,1390.321388416514,0.4545187892445549,836.0,1647.3392857142858,41.0826195022884,-0.009221049793167332,-0.003017943714104625,-0.006203106079062708,-0.20282381392702187,23360.7043548,6651.08341468476,-0.1046314118758136,0.00914887238846966,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018-01-29,11879.95,14170.377538,-0.0543950915824984,0.0383690487014977,0.0332879848959367,0.0356104943044179,-0.0077496753105052,-0.0155135615881707,0.0497466575480256,0.0457443619423483,0.0457038150077563,0.0857326437560934,0.0516003235389348,0.0612888116119923,0.0029588259882683886,0.0011080899384321098,0.0012681073046049798,6.005746741825387e-05,0.0002406705931499654,0.002474729937200532,-0.0017519698561639318,0.0534300385893261,-0.001971199943676477,0.07101558304763564,0.03748467786972818,0.06299851524117106,1308.1835006619726,0.4332416303569612,835.4700000000012,1628.287142857143,37.75190383755777,-0.011243994488128892,-0.004666342335556662,-0.00657765215257223,-0.21868055555555554,20763.06231,7301.4914575161165,-0.1608875087836481,0.007673809740299541,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018-01-30,11250.11,25554.372946,-0.0943985876092473,0.0735504419917106,-0.0543950915824984,0.0332879848959367,0.0356104943044179,-0.0077496753105052,-0.0155135615881707,0.0383690487014977,0.0457443619423483,0.0457038150077563,0.0857326437560934,0.0516003235389348,0.008911093342620737,0.0029588259882683886,0.0011080899384321098,0.0012681073046049798,6.005746741825387e-05,0.0002406705931499654,-0.017528975060379252,0.057820062279881256,-0.022338205743489725,0.07138046053051757,0.05650187874754138,0.05551682161370852,1187.8737807133884,0.40115228063968245,1408.42,1406.8935714285715,45.050937110808384,-0.010155496348265361,-0.005765874581838599,-0.004389621766426762,-0.31324557643376405,21705.9460626,7611.713118816474,0.8033657097330047,0.01471008839834212,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018-01-31,10230.0,18015.956805,0.0046378199753893,0.0509171928253436,-0.0943985876092473,-0.0543950915824984,0.0332879848959367,0.0356104943044179,-0.0077496753105052,0.0735504419917106,0.0383690487014977,0.0457443619423483,0.0457038150077563,0.0857326437560934,2.150937412412001e-05,0.008911093342620737,0.0029588259882683886,0.0011080899384321098,0.0012681073046049798,6.005746741825387e-05,-0.01505147600320035,0.0508569720937313,-0.011425608832589047,0.06766722216041351,0.057303776705108514,0.047757840996684564,1189.0294535066487,0.406612384120401,725.8500000000004,1269.9507142857144,44.7478511510196,-0.010831732261602098,-0.006780301918007687,-0.004051430343594411,-0.2231081715988935,18697.7630316,4221.355903782782,-0.29499515237293183,0.01018343856506872,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
